userId,tagId,rating
7,18,2.0
7,28,2.0
7,55,2.0
7,57,2.0
7,60,2.0
7,98,2.0
7,101,3.0
7,105,2.0
7,111,2.0
7,137,1.0
7,156,1.0
7,158,1.0
7,159,1.0
7,164,3.0
7,165,3.0
7,176,4.0
7,183,1.0
7,189,4.0
7,192,1.0
7,193,1.0
7,196,1.0
7,300,1.0
7,309,2.0
7,329,1.0
7,515,1.0
7,518,2.0
7,863,1.0
7,1221,2.0
7,2401,1.0
8,1,1.0
8,29,1.0
8,31,2.0
8,34,1.0
8,54,1.0
8,55,1.0
8,60,1.0
8,74,1.0
8,77,1.0
8,97,2.0
8,101,1.0
8,102,1.0
8,103,2.0
8,104,1.0
8,120,2.0
8,156,2.0
8,179,1.0
8,183,1.0
8,189,1.0
8,209,1.0
8,228,1.0
8,305,2.0
8,380,1.0
8,644,2.0
8,681,1.0
8,1007,1.0
21,3,2.0
21,4,1.0
21,5,4.0
21,6,1.0
21,7,1.0
21,8,1.0
21,10,2.0
21,11,3.0
21,15,2.0
21,17,2.0
21,20,6.0
21,34,1.0
21,48,1.0
21,50,6.0
21,51,7.0
21,54,1.0
21,55,11.0
21,64,2.0
21,74,4.0
21,89,4.0
21,95,2.0
21,98,8.0
21,102,5.0
21,110,2.0
21,120,2.0
21,127,5.0
21,133,1.0
21,146,3.0
21,150,1.0
21,172,1.0
21,177,4.0
21,183,3.0
21,186,2.0
21,198,2.0
21,203,1.0
21,205,1.0
21,222,4.0
21,237,3.0
21,242,4.0
21,243,4.0
21,249,1.0
21,250,5.0
21,251,4.0
21,274,1.0
21,278,1.0
21,323,4.0
21,333,1.0
21,347,1.0
21,463,1.0
21,505,1.0
21,523,4.0
21,540,1.0
21,644,2.0
21,857,3.0
21,2403,1.0
21,2460,1.0
28,0,2.0
28,1,6.0
28,2,6.0
28,4,1.0
28,6,1.0
28,8,5.0
28,11,5.0
28,12,3.0
28,13,1.0
28,14,1.0
28,17,9.0
28,19,4.0
28,20,13.0
28,25,1.0
28,29,2.0
28,33,4.0
28,34,27.0
28,43,3.0
28,45,3.0
28,46,2.0
28,48,2.0
28,50,2.0
28,55,10.0
28,57,5.0
28,60,1.0
28,64,2.0
28,67,1.0
28,68,1.0
28,72,5.0
28,74,11.0
28,77,5.0
28,78,5.0
28,84,1.0
28,87,1.0
28,95,1.0
28,96,5.0
28,97,5.0
28,98,7.0
28,102,1.0
28,108,1.0
28,110,16.0
28,111,2.0
28,117,2.0
28,118,3.0
28,120,3.0
28,127,5.0
28,129,2.0
28,132,4.0
28,135,4.0
28,144,1.0
28,145,21.0
28,146,6.0
28,152,1.0
28,153,1.0
28,156,1.0
28,164,3.0
28,167,1.0
28,174,1.0
28,176,9.0
28,177,1.0
28,179,1.0
28,180,3.0
28,181,2.0
28,183,16.0
28,196,1.0
28,201,1.0
28,204,3.0
28,205,9.0
28,209,6.0
28,216,5.0
28,219,6.0
28,223,3.0
28,226,2.0
28,230,1.0
28,238,1.0
28,242,3.0
28,246,9.0
28,249,6.0
28,250,2.0
28,252,1.0
28,254,2.0
28,259,6.0
28,262,100.0
28,270,9.0
28,274,3.0
28,278,7.0
28,279,2.0
28,283,4.0
28,285,2.0
28,288,2.0
28,305,5.0
